Order ID,Customer Name,Product,Category,Order Date,Quantity,Price,Total
ORD00043,Heidi Gallegos,Office Desk,Furniture,2023-12-07,4,300,1200
ORD00044,John Hill,Water Bottle,Accessories,2023-11-04,1,20,20
ORD00045,Robin Price,Tablet,Electronics,2022-10-12,5,350,1750
ORD00046,Edgar Lewis,Backpack,Accessories,2022-07-31,2,50,100
ORD00047,Jaime Mcdowell,Backpack,Accessories,2024-04-02,4,50,200
ORD00048,Alan Figueroa,Headphones,Electronics,2024-03-14,1,100,100
ORD00049,Laura Barber MD,Coffee Maker,Home Appliance,2024-04-28,4,70,280
ORD00050,Nicholas Daniels,Office Desk,Furniture,2023-09-09,1,300,300
ORD00051,Christian Shelton,Smartphone,Electronics,2024-04-02,4,600,2400
ORD00052,Victoria Spencer MD,Coffee Maker,Home Appliance,2023-06-03,2,70,140
ORD00053,Richard Spencer,Backpack,Accessories,2024-03-22,5,50,250
ORD00054,Melissa Huang,Headphones,Electronics,2025-01-26,3,100,300
ORD00055,John Wilson,Tablet,Electronics,2023-08-10,4,350,1400
ORD00056,Catherine Lyons,Headphones,Electronics,2024-08-09,3,100,300
ORD00057,Edward Hughes,Water Bottle,Accessories,2022-09-28,2,20,40
ORD00058,Ronald Taylor,Headphones,Electronics,2022-07-12,1,100,100
ORD00059,Joseph Young,Laptop,Electronics,2022-12-15,4,800,3200
ORD00060,Melissa Rollins,LED Monitor,Electronics,2022-09-27,2,200,400
ORD00061,Jason Sanders,Coffee Maker,Home Appliance,2022-07-09,3,70,210
ORD00062,Amy Davis,Laptop,Electronics,2022-09-14,3,800,2400
ORD00063,Matthew Durham,Office Desk,Furniture,2022-07-30,4,300,1200
ORD00064,Holly Hunt,Tablet,Electronics,2022-09-17,2,350,700
ORD00065,Michael Allison,Office Desk,Furniture,2024-12-10,1,300,300
ORD00066,David Roach,Tablet,Electronics,2023-01-29,1,350,350
ORD00067,Robert Casey,Water Bottle,Accessories,2024-02-11,5,20,100
ORD00068,Colton Fernandez,Coffee Maker,Home Appliance,2022-08-15,5,70,350
ORD00069,James Jenkins,Backpack,Accessories,2022-06-07,2,50,100
ORD00070,Hayden Edwards,Smartphone,Electronics,2025-03-28,3,600,1800
ORD00071,Christopher Espinoza,Laptop,Electronics,2024-01-22,3,800,2400
ORD00072,Bridget Ryan,LED Monitor,Electronics,2024-06-08,3,200,600
ORD00073,Brett Johnson,Headphones,Electronics,2025-01-31,5,100,500
ORD00074,Angela Cordova,Smartphone,Electronics,2024-03-14,3,600,1800
ORD00075,Mrs. Judy Krueger MD,Tablet,Electronics,2024-03-06,2,350,700
ORD00076,Catherine Gonzalez,Desk Chair,Furniture,2023-02-18,1,150,150
ORD00077,David Moore,Water Bottle,Accessories,2024-12-09,1,20,20
ORD00078,Jill Rojas,Headphones,Electronics,2023-03-06,1,100,100
ORD00079,Crystal Williams,Office Desk,Furniture,2024-04-28,3,300,900
ORD00080,Kelly Smith,Smartphone,Electronics,2023-06-23,5,600,3000
ORD00081,Amy Mckenzie,Office Desk,Furniture,2024-09-02,5,300,1500
ORD00082,Valerie Mendoza,Backpack,Accessories,2023-06-15,1,50,50
ORD00083,Mr. David Huffman,LED Monitor,Electronics,2024-02-16,1,200,200
ORD00084,Daniel Petty,Tablet,Electronics,2024-08-09,1,350,350
ORD00085,Kevin Mcclain,Water Bottle,Accessories,2022-10-22,5,20,100
ORD00086,Robert Dunn,Headphones,Electronics,2024-02-15,1,100,100
ORD00087,Samantha Nelson,Smartphone,Electronics,2024-05-30,5,600,3000
ORD00088,James Thomas,Backpack,Accessories,2024-01-30,2,50,100
ORD00089,Breanna Burns,Tablet,Electronics,2024-06-07,5,350,1750
ORD00090,Hannah Hurley,Water Bottle,Accessories,2023-08-26,5,20,100
ORD00091,William Johnson,LED Monitor,Electronics,2024-07-19,2,200,400
ORD00092,Megan Bennett,Tablet,Electronics,2024-12-15,5,350,1750
ORD00093,Nicholas Mendez,Office Desk,Furniture,2024-02-24,5,300,1500
ORD00094,Anthony Lee,Water Bottle,Accessories,2022-05-17,2,20,40
ORD00095,Jason Nguyen,LED Monitor,Electronics,2024-10-20,4,200,800
ORD00096,Lauren Matthews,Headphones,Electronics,2022-10-04,4,100,400
ORD00097,Amanda Wallace,Tablet,Electronics,2022-07-19,4,350,1400
ORD00098,Dr. Diana Stafford,Backpack,Accessories,2024-06-17,4,50,200
ORD00099,Steven Wright,Coffee Maker,Home Appliance,2023-10-04,2,70,140
ORD00100,Michael George,Desk Chair,Furniture,2022-11-30,3,150,450
ORD00101,Anna Livingston,Tablet,Electronics,2022-11-03,2,350,700
ORD00102,James Walker,Tablet,Electronics,2023-05-31,4,350,1400
ORD00103,Mary Williams,Laptop,Electronics,2023-09-27,5,800,4000
ORD00104,Daniel West,Backpack,Accessories,2024-10-28,4,50,200
ORD00105,Leslie Mahoney,LED Monitor,Electronics,2025-03-13,2,200,400
ORD00106,Rebecca Santos,Coffee Maker,Home Appliance,2024-10-31,3,70,210
ORD00107,Toni Torres,Coffee Maker,Home Appliance,2023-10-21,2,70,140
ORD00108,Jennifer Johnson,Smartphone,Electronics,2022-07-21,3,600,1800
ORD00109,Gerald Torres,Smartphone,Electronics,2023-04-01,4,600,2400
ORD00110,John Graham,LED Monitor,Electronics,2025-02-06,3,200,600
ORD00111,Jeffrey Wong,Water Bottle,Accessories,2023-01-08,4,20,80
ORD00112,Heather Webb,Tablet,Electronics,2023-05-01,2,350,700
ORD00113,Nicholas Myers,Smartphone,Electronics,2023-07-31,2,600,1200
ORD00114,Janice Jackson MD,Office Desk,Furniture,2024-10-14,3,300,900
ORD00115,Matthew Martin,Office Desk,Furniture,2024-02-07,4,300,1200
ORD00116,John Powell,Coffee Maker,Home Appliance,2025-02-19,2,70,140
ORD00117,Lance Miller,Backpack,Accessories,2024-12-14,3,50,150
ORD00118,James Mcdaniel,Water Bottle,Accessories,2025-02-24,1,20,20
ORD00119,Dalton Carlson,Smartphone,Electronics,2022-08-01,3,600,1800
ORD00120,Anthony Hunt,Water Bottle,Accessories,2024-04-23,2,20,40
ORD00121,Steven Marks,Backpack,Accessories,2022-05-12,3,50,150
ORD00122,Sean Nichols,Headphones,Electronics,2023-09-02,3,100,300
ORD00123,Eric Moore,Water Bottle,Accessories,2022-06-29,5,20,100
ORD00124,Phillip Mathis,Smartphone,Electronics,2024-12-18,4,600,2400
ORD00125,Joseph Stephenson,Coffee Maker,Home Appliance,2023-05-01,1,70,70
ORD00126,Curtis Taylor,Tablet,Electronics,2024-05-19,5,350,1750
ORD00127,Hayley Nelson,Headphones,Electronics,2024-04-29,3,100,300
ORD00128,Alexander Gonzalez,Desk Chair,Furniture,2023-01-26,5,150,750
ORD00129,Kristin Campbell,Coffee Maker,Home Appliance,2024-07-19,4,70,280
ORD00130,Tara Henry,LED Monitor,Electronics,2022-10-25,2,200,400
ORD00131,Hannah George,Tablet,Electronics,2022-09-04,2,350,700
ORD00132,Colleen Aguilar,LED Monitor,Electronics,2024-10-03,4,200,800
ORD00133,Justin Dean,LED Monitor,Electronics,2023-12-05,5,200,1000
ORD00134,Juan Davis,Coffee Maker,Home Appliance,2023-07-09,2,70,140
ORD00135,Nicole Freeman,Tablet,Electronics,2024-11-12,2,350,700
ORD00136,Richard Pace,Laptop,Electronics,2025-03-21,3,800,2400
ORD00137,John Powell,Smartphone,Electronics,2023-01-20,3,600,1800
ORD00138,Jordan Dunn,Smartphone,Electronics,2022-09-10,1,600,600
ORD00139,Jesus Jackson,Laptop,Electronics,2024-12-26,1,800,800
ORD00140,Veronica Wallace,LED Monitor,Electronics,2023-10-20,2,200,400
ORD00141,Danielle Haynes,LED Monitor,Electronics,2023-02-17,1,200,200
ORD00142,James Johnson,Desk Chair,Furniture,2024-01-17,4,150,600
ORD00143,Andrea Morgan,Backpack,Accessories,2024-08-28,1,50,50
ORD00144,Amanda Woods,Coffee Maker,Home Appliance,2023-12-27,5,70,350
ORD00145,Erica Carter,LED Monitor,Electronics,2024-11-27,2,200,400
ORD00146,Austin Torres,Smartphone,Electronics,2024-08-21,1,600,600
ORD00147,Connie Gates,Laptop,Electronics,2024-07-19,4,800,3200
ORD00148,Jasmine Moreno,Backpack,Accessories,2024-01-06,3,50,150
ORD00149,Latoya Soto,Tablet,Electronics,2022-10-08,4,350,1400
ORD00150,Kristen Johnson,Smartphone,Electronics,2023-12-29,1,600,600
ORD00151,Janet Vasquez,Backpack,Accessories,2024-01-22,3,50,150
ORD00152,Elizabeth Smith,Headphones,Electronics,2024-12-09,1,100,100
ORD00153,Yolanda Chen,Desk Chair,Furniture,2024-07-20,1,150,150
ORD00154,Christine Wagner PhD,Office Desk,Furniture,2023-12-19,5,300,1500
ORD00155,Gregory Garcia,Tablet,Electronics,2022-08-26,2,350,700
ORD00156,Kenneth Stevens,Desk Chair,Furniture,2022-05-17,1,150,150
ORD00157,Deborah Richard,Backpack,Accessories,2022-07-31,3,50,150
ORD00158,George Molina,Headphones,Electronics,2022-08-10,4,100,400
ORD00159,Heidi Farley,Coffee Maker,Home Appliance,2024-11-17,1,70,70
ORD00160,Terri Hawkins,Desk Chair,Furniture,2023-10-02,5,150,750
ORD00161,Austin Holmes,Laptop,Electronics,2024-02-13,2,800,1600
ORD00162,Micheal Johnston,Laptop,Electronics,2024-01-22,1,800,800
ORD00163,Amber Richards,LED Monitor,Electronics,2023-08-17,4,200,800
ORD00164,Joseph Macias,Desk Chair,Furniture,2022-05-28,3,150,450
ORD00165,Thomas Castro,LED Monitor,Electronics,2022-11-23,2,200,400
ORD00166,Mariah Rivera,Headphones,Electronics,2023-11-27,5,100,500
ORD00167,James Walton,Laptop,Electronics,2025-03-02,2,800,1600
ORD00168,Michael Pratt,Laptop,Electronics,2022-07-31,2,800,1600
ORD00169,Steven Holmes,LED Monitor,Electronics,2023-07-30,5,200,1000
ORD00170,Elizabeth Perry,Laptop,Electronics,2022-10-08,1,800,800
ORD00171,Paul Wilson,Office Desk,Furniture,2024-05-06,3,300,900
ORD00172,Kayla Rose,Office Desk,Furniture,2023-07-21,2,300,600
ORD00173,Derek Rivers,Desk Chair,Furniture,2024-03-03,5,150,750
ORD00174,Caitlin Randolph,Tablet,Electronics,2023-06-29,3,350,1050
ORD00175,Maria Wallace,Coffee Maker,Home Appliance,2024-06-05,1,70,70
ORD00176,Harry Rios,Headphones,Electronics,2024-08-15,3,100,300
ORD00177,Christopher Chen,Backpack,Accessories,2025-02-03,3,50,150
ORD00178,Robert Fuller,Water Bottle,Accessories,2022-08-15,2,20,40
ORD00179,Madison Nelson,Desk Chair,Furniture,2024-06-20,3,150,450
ORD00180,Kathryn Brown,LED Monitor,Electronics,2023-08-27,1,200,200
ORD00181,Andrea Hopkins,Office Desk,Furniture,2023-01-19,2,300,600
ORD00182,Steven Avila,Water Bottle,Accessories,2024-03-07,4,20,80
ORD00183,Tim Harrington,Desk Chair,Furniture,2023-05-15,2,150,300
ORD00184,Mark Parker,Tablet,Electronics,2024-02-02,5,350,1750
ORD00185,Larry Dillon,Water Bottle,Accessories,2024-07-09,1,20,20
ORD00186,Jeffrey Stewart,Backpack,Accessories,2025-02-02,5,50,250
ORD00187,Lauren Pena,Desk Chair,Furniture,2022-10-09,1,150,150
ORD00188,Jason Moore,Desk Chair,Furniture,2023-07-31,5,150,750
ORD00189,Robert Swanson,Laptop,Electronics,2024-05-17,5,800,4000
ORD00190,Ryan Murphy,Desk Chair,Furniture,2024-10-11,4,150,600
ORD00191,Shawn Brown,Water Bottle,Accessories,2024-08-23,4,20,80
ORD00192,Gail Abbott,Desk Chair,Furniture,2025-01-11,2,150,300
ORD00193,Charles Walker,LED Monitor,Electronics,2022-06-18,3,200,600
ORD00194,Rachael Nichols,Water Bottle,Accessories,2024-02-29,3,20,60
ORD00195,Jennifer Yates,Office Desk,Furniture,2022-12-02,2,300,600
ORD00196,Margaret Brown,Water Bottle,Accessories,2022-06-09,3,20,60
ORD00197,Michael Nicholson,Desk Chair,Furniture,2024-04-20,4,150,600
ORD00198,Charles Palmer,Headphones,Electronics,2023-08-09,1,100,100
ORD00199,William Pierce,Backpack,Accessories,2024-07-25,3,50,150
ORD00200,Matthew Howard,Smartphone,Electronics,2023-06-12,5,600,3000
ORD00201,Matthew Shelton,Smartphone,Electronics,2023-09-30,5,600,3000
ORD00202,Nicholas Lawson,LED Monitor,Electronics,2025-03-30,2,200,400
ORD00203,Daniel Riley,Coffee Maker,Home Appliance,2024-09-12,5,70,350
ORD00204,Mark Jones,Coffee Maker,Home Appliance,2023-09-12,1,70,70
ORD00205,Cynthia Wilson,Tablet,Electronics,2025-02-04,4,350,1400
ORD00206,Michael Cuevas,Tablet,Electronics,2023-07-23,3,350,1050
ORD00207,Tracy Parker,Coffee Maker,Home Appliance,2022-09-13,3,70,210
ORD00208,Audrey Garrett,LED Monitor,Electronics,2024-09-10,5,200,1000
ORD00209,Dylan Ferguson,Tablet,Electronics,2022-08-14,1,350,350
ORD00210,Adriana Long,Coffee Maker,Home Appliance,2022-12-20,1,70,70
ORD00211,Jessica Fuller,Backpack,Accessories,2024-12-11,3,50,150
ORD00212,Matthew Stephens,LED Monitor,Electronics,2023-04-16,2,200,400
ORD00213,Joshua Torres,Desk Chair,Furniture,2024-09-02,5,150,750
ORD00214,Erica Mullins,Water Bottle,Accessories,2025-02-02,1,20,20
ORD00215,Robin Christian,Backpack,Accessories,2024-01-16,1,50,50
ORD00216,Cheryl Miller,Office Desk,Furniture,2023-06-28,5,300,1500
ORD00217,Adam Ferguson,Desk Chair,Furniture,2023-11-08,2,150,300
ORD00218,Amanda Williams,Smartphone,Electronics,2024-07-19,2,600,1200
ORD00219,Franklin Gray,Desk Chair,Furniture,2023-04-18,5,150,750
ORD00220,James Logan,Tablet,Electronics,2023-07-30,2,350,700
ORD00221,Sharon Thornton,Headphones,Electronics,2022-10-22,1,100,100
ORD00222,Jeffrey Jackson,Water Bottle,Accessories,2024-07-19,1,20,20
ORD00223,David Randall,LED Monitor,Electronics,2023-10-09,2,200,400
ORD00224,Larry Jones,LED Monitor,Electronics,2024-10-01,1,200,200
ORD00225,Amanda Barrera,Coffee Maker,Home Appliance,2023-08-08,2,70,140
ORD00226,Autumn Garrison,Tablet,Electronics,2025-03-31,2,350,700
ORD00227,Leslie Le,Headphones,Electronics,2024-02-26,1,100,100
ORD00228,Joseph Olsen,Office Desk,Furniture,2025-04-07,5,300,1500
ORD00229,Melissa Griffith,Laptop,Electronics,2023-10-15,3,800,2400
ORD00230,Justin Aguirre,Water Bottle,Accessories,2023-10-28,5,20,100
ORD00231,Jessica Holt,Desk Chair,Furniture,2023-12-06,3,150,450
ORD00232,Kimberly Scott,LED Monitor,Electronics,2024-11-25,2,200,400
ORD00233,Derek Hoffman,Tablet,Electronics,2022-12-07,3,350,1050
ORD00234,Brenda Underwood,LED Monitor,Electronics,2023-01-02,2,200,400
ORD00235,Mary Elliott,Backpack,Accessories,2024-07-24,1,50,50
ORD00236,Justin Lee,Water Bottle,Accessories,2025-05-01,1,20,20
ORD00237,Stephen Estrada,Backpack,Accessories,2024-08-15,1,50,50
ORD00238,Andrew Alvarez,LED Monitor,Electronics,2025-01-24,4,200,800
ORD00239,Whitney Compton,Headphones,Electronics,2024-08-03,5,100,500
ORD00240,Brian Stewart,Headphones,Electronics,2023-03-04,3,100,300
ORD00241,Donald Wilkinson,LED Monitor,Electronics,2022-09-22,1,200,200
ORD00242,Maria Williamson,Backpack,Accessories,2024-09-02,2,50,100
ORD00243,Rebecca Williams,LED Monitor,Electronics,2022-10-21,3,200,600
ORD00244,Andres Nelson,Smartphone,Electronics,2024-10-06,3,600,1800
ORD00245,Antonio Sanchez,Backpack,Accessories,2022-12-18,5,50,250
ORD00246,Ronald Foster,Laptop,Electronics,2022-09-22,2,800,1600
ORD00247,Lori Smith,Office Desk,Furniture,2024-02-04,3,300,900
ORD00248,Lisa Williams,Desk Chair,Furniture,2024-05-04,1,150,150
ORD00249,Cynthia Spencer,Coffee Maker,Home Appliance,2022-10-17,2,70,140
ORD00250,Mr. John Cain,Desk Chair,Furniture,2024-03-17,5,150,750
ORD00251,Andre Thomas II,Coffee Maker,Home Appliance,2024-02-01,5,70,350
ORD00252,Michael Kelley,LED Monitor,Electronics,2024-10-18,5,200,1000
ORD00253,Frank Ellis,Office Desk,Furniture,2023-07-13,3,300,900
ORD00254,Kathleen Gomez,Desk Chair,Furniture,2023-06-07,2,150,300
ORD00255,Steven Black,Laptop,Electronics,2022-10-09,5,800,4000
ORD00256,Ryan Fisher,Backpack,Accessories,2024-01-09,5,50,250
ORD00257,Samantha Snyder,LED Monitor,Electronics,2024-08-16,1,200,200
ORD00258,Bryan Cooper,Desk Chair,Furniture,2023-08-17,5,150,750
ORD00259,Chad Johnson,Smartphone,Electronics,2023-06-13,5,600,3000
ORD00260,Erin Solis,Tablet,Electronics,2023-08-12,3,350,1050
ORD00261,Brandon Kennedy,Desk Chair,Furniture,2023-03-05,1,150,150
ORD00262,Karen Rubio,Laptop,Electronics,2024-09-15,3,800,2400
ORD00263,Mr. Andrew Harrington Jr.,Desk Chair,Furniture,2024-06-11,2,150,300
ORD00264,David Kim,Backpack,Accessories,2023-04-30,1,50,50
ORD00265,Jose Lucas,Smartphone,Electronics,2023-11-14,2,600,1200
ORD00266,Victoria Mckenzie,Tablet,Electronics,2024-07-26,3,350,1050
ORD00267,Rhonda Nunez,Headphones,Electronics,2022-12-23,1,100,100
ORD00268,John Huber,Backpack,Accessories,2024-09-22,1,50,50
ORD00269,Holly Cruz,Tablet,Electronics,2024-12-12,5,350,1750
ORD00270,Wayne Gonzales,Laptop,Electronics,2023-12-08,2,800,1600
ORD00271,Jessica Ali,Desk Chair,Furniture,2024-07-06,5,150,750
ORD00272,Paul Ford,Smartphone,Electronics,2023-03-13,2,600,1200
ORD00273,April Wright,Backpack,Accessories,2023-04-12,2,50,100
ORD00274,Gabrielle Watts,LED Monitor,Electronics,2023-01-29,2,200,400
ORD00275,Christopher Powell,Desk Chair,Furniture,2022-08-21,4,150,600
ORD00276,Michelle Washington,Headphones,Electronics,2023-06-24,4,100,400
ORD00277,Jill Scott,Backpack,Accessories,2023-03-07,2,50,100
ORD00278,Brent Spencer,Smartphone,Electronics,2025-01-03,3,600,1800
ORD00279,Jacob Diaz,Backpack,Accessories,2022-11-26,5,50,250
ORD00280,Shaun Smith,Coffee Maker,Home Appliance,2023-11-04,3,70,210
ORD00281,Steven Braun,Tablet,Electronics,2025-04-10,2,350,700
ORD00282,Emma Cole,Headphones,Electronics,2023-01-01,4,100,400
ORD00283,Allison Goodman,Water Bottle,Accessories,2025-04-23,3,20,60
ORD00284,Vincent George,Laptop,Electronics,2023-02-14,3,800,2400
ORD00285,Michael Fields,Desk Chair,Furniture,2024-01-27,3,150,450
ORD00286,Jill Hall,Headphones,Electronics,2025-04-17,2,100,200
ORD00287,Jordan Castro MD,LED Monitor,Electronics,2022-12-09,2,200,400
ORD00288,Nichole Harris,Desk Chair,Furniture,2024-01-28,5,150,750
ORD00289,Penny Villarreal,Desk Chair,Furniture,2024-02-29,3,150,450
ORD00290,Melissa Wood,Smartphone,Electronics,2023-02-26,1,600,600
ORD00291,Andrew Richardson,Laptop,Electronics,2023-09-14,2,800,1600
ORD00292,Dr. Bradley Hansen,Coffee Maker,Home Appliance,2025-01-31,4,70,280
ORD00293,Aaron Allen MD,Coffee Maker,Home Appliance,2023-12-18,3,70,210
ORD00294,Amy Miller DDS,Laptop,Electronics,2024-05-28,5,800,4000
ORD00295,Randy Ortiz,Desk Chair,Furniture,2024-05-03,1,150,150
ORD00296,Brian Miranda,Office Desk,Furniture,2022-06-21,1,300,300
ORD00297,Teresa Pratt,Office Desk,Furniture,2024-12-25,3,300,900
ORD00298,Holly Jennings,LED Monitor,Electronics,2022-09-25,5,200,1000
ORD00299,Ryan Choi,Headphones,Electronics,2022-11-15,2,100,200
ORD00300,Julie Estrada,Office Desk,Furniture,2025-03-08,1,300,300
ORD00301,Sandra Adams,Desk Chair,Furniture,2023-04-28,4,150,600
ORD00302,Miss Shannon Powers,Backpack,Accessories,2023-12-07,2,50,100
ORD00303,Alexa Melton,Office Desk,Furniture,2024-12-30,3,300,900
ORD00304,George Mcdonald,LED Monitor,Electronics,2023-03-08,1,200,200
ORD00305,Pamela Morales,LED Monitor,Electronics,2023-03-21,1,200,200
ORD00306,Claudia Garrett,Office Desk,Furniture,2024-09-20,2,300,600
ORD00307,Aaron White,Smartphone,Electronics,2025-05-04,3,600,1800
ORD00308,Jordan Harris,Desk Chair,Furniture,2023-03-22,5,150,750
ORD00309,Carla Johnson,LED Monitor,Electronics,2022-11-12,2,200,400
ORD00310,Jeremy Smith,Coffee Maker,Home Appliance,2023-02-14,5,70,350
ORD00311,Michael Walls,Tablet,Electronics,2025-02-13,1,350,350
ORD00312,Victoria Stewart,Tablet,Electronics,2024-05-27,4,350,1400
ORD00313,Amy Miller,Water Bottle,Accessories,2024-07-19,4,20,80
ORD00314,Kathy Hammond,LED Monitor,Electronics,2024-04-05,1,200,200
ORD00315,Calvin Watkins,Backpack,Accessories,2023-12-08,5,50,250
ORD00316,Kimberly Alvarez,Office Desk,Furniture,2023-05-29,5,300,1500
ORD00317,Kristen Sanchez,Laptop,Electronics,2022-08-29,1,800,800
ORD00318,Jonathan Valdez,Tablet,Electronics,2023-11-23,2,350,700
ORD00319,Jennifer Riley,LED Monitor,Electronics,2024-12-17,5,200,1000
ORD00320,Kevin Hall,Headphones,Electronics,2022-08-12,4,100,400
ORD00321,David Santos,Smartphone,Electronics,2023-09-07,2,600,1200
ORD00322,Daniel Hunter,Laptop,Electronics,2024-05-01,4,800,3200
ORD00323,Katie Brandt,LED Monitor,Electronics,2023-06-06,1,200,200
ORD00324,Emily Rodriguez,Laptop,Electronics,2025-01-07,2,800,1600
ORD00325,Anna Carroll,Tablet,Electronics,2024-07-05,3,350,1050
ORD00326,Angela Jenkins,Smartphone,Electronics,2022-05-24,2,600,1200
ORD00327,Robert Best,LED Monitor,Electronics,2024-04-21,1,200,200
ORD00328,Nicole Hill,Coffee Maker,Home Appliance,2023-09-13,3,70,210
ORD00329,Robert Martin,Tablet,Electronics,2024-06-30,4,350,1400
ORD00330,Suzanne Moon,Desk Chair,Furniture,2023-03-03,3,150,450
ORD00331,Joseph Lawrence,LED Monitor,Electronics,2025-04-04,1,200,200
ORD00332,Mark Beck,Water Bottle,Accessories,2024-05-12,3,20,60
ORD00333,Jessica Brooks,Office Desk,Furniture,2025-02-28,1,300,300
ORD00334,Theresa Thompson,Office Desk,Furniture,2023-03-09,1,300,300
ORD00335,Joe Peterson,Water Bottle,Accessories,2025-01-08,5,20,100
ORD00336,Julie Douglas,Office Desk,Furniture,2024-01-08,2,300,600
ORD00337,Ernest Baker,Desk Chair,Furniture,2024-05-25,4,150,600
ORD00338,Denise Weber,Backpack,Accessories,2023-02-03,5,50,250
ORD00339,Matthew Johnson,Coffee Maker,Home Appliance,2024-12-15,1,70,70
ORD00340,Madeline King,Coffee Maker,Home Appliance,2022-06-21,4,70,280
ORD00341,Carol Wilkerson,LED Monitor,Electronics,2024-04-26,5,200,1000
ORD00342,Marcus Hogan,Headphones,Electronics,2023-05-15,4,100,400
ORD00343,Abigail Carey,Laptop,Electronics,2024-11-10,5,800,4000
ORD00344,Jason Garcia,Water Bottle,Accessories,2024-03-07,1,20,20
ORD00345,Robert Hurley,Tablet,Electronics,2023-09-19,5,350,1750
ORD00346,Michael Robertson,Coffee Maker,Home Appliance,2023-11-19,1,70,70
ORD00347,Leah Sullivan,Laptop,Electronics,2023-05-17,5,800,4000
ORD00348,Michael Mitchell,Laptop,Electronics,2022-05-20,5,800,4000
ORD00349,Mary Williams,Office Desk,Furniture,2022-06-11,2,300,600
ORD00350,Deborah Diaz,LED Monitor,Electronics,2024-07-18,4,200,800
ORD00351,Margaret Gilbert,Tablet,Electronics,2023-02-10,5,350,1750
ORD00352,Linda Serrano,Tablet,Electronics,2022-12-28,5,350,1750
ORD00353,Craig Forbes,Desk Chair,Furniture,2024-12-30,1,150,150
ORD00354,Austin Fuller,Water Bottle,Accessories,2023-07-16,3,20,60
ORD00355,Mark Patterson,Desk Chair,Furniture,2024-10-17,5,150,750
ORD00356,Shannon Cruz,Office Desk,Furniture,2022-09-20,2,300,600
ORD00357,Lindsay Walker,Tablet,Electronics,2022-10-06,4,350,1400
